deviation_factor,midpoint
1.0,"(5, 24)"
1.0,"(6, 24)"
1.0,"(7, 24)"
1.0,"(8, 24)"
1.0,"(9, 24)"
1.0,"(10, 24)"
1.0,"(11, 24)"
1.0,"(12, 24)"
1.0,"(13, 24)"
1.0,"(14, 24)"
1.0,"(15, 24)"
1.0,"(16, 24)"
1.0,"(17, 24)"
1.0,"(18, 24)"
1.0,"(19, 24)"
1.0,"(20, 24)"
1.0,"(21, 24)"
1.0,"(22, 24)"
1.0,"(23, 24)"
1.0,"(24, 24)"
1.0,"(25, 24)"
1.0,"(26, 24)"
1.0,"(27, 24)"
1.0,"(28, 24)"
1.0,"(29, 24)"
1.0,"(30, 24)"
1.0,"(31, 24)"
1.0,"(32, 24)"
1.0,"(33, 24)"
1.0,"(34, 24)"
1.0,"(35, 24)"
1.0,"(35, 25)"
1.0,"(35, 26)"
1.0,"(35, 27)"
1.0,"(35, 28)"
1.04,"(5, 19)"
1.04,"(5, 25)"
1.04,"(5, 26)"
1.04,"(5, 27)"
1.04,"(5, 28)"
1.04,"(5, 29)"
1.04,"(6, 19)"
1.04,"(6, 25)"
1.04,"(6, 26)"
1.04,"(6, 27)"
1.04,"(6, 28)"
1.04,"(6, 29)"
1.04,"(7, 19)"
1.04,"(7, 25)"
1.04,"(7, 26)"
1.04,"(7, 27)"
1.04,"(7, 28)"
1.04,"(7, 29)"
1.04,"(8, 19)"
1.04,"(8, 25)"
1.04,"(8, 26)"
1.04,"(8, 27)"
1.04,"(8, 28)"
1.04,"(8, 29)"
1.04,"(9, 19)"
1.04,"(9, 25)"
1.04,"(9, 26)"
1.04,"(9, 27)"
1.04,"(9, 28)"
1.04,"(9, 29)"
1.04,"(10, 19)"
1.04,"(10, 20)"
1.04,"(10, 21)"
1.04,"(10, 22)"
1.04,"(10, 23)"
1.04,"(10, 29)"
1.04,"(11, 19)"
1.04,"(11, 20)"
1.04,"(11, 21)"
1.04,"(11, 22)"
1.04,"(11, 23)"
1.04,"(11, 29)"
1.04,"(12, 19)"
1.04,"(12, 20)"
1.04,"(12, 21)"
1.04,"(12, 22)"
1.04,"(12, 23)"
1.04,"(12, 29)"
1.04,"(13, 19)"
1.04,"(13, 20)"
1.04,"(13, 21)"
1.04,"(13, 22)"
1.04,"(13, 23)"
1.04,"(13, 29)"
1.04,"(14, 19)"
1.04,"(14, 20)"
1.04,"(14, 21)"
1.04,"(14, 22)"
1.04,"(14, 23)"
1.04,"(14, 29)"
1.04,"(15, 19)"
1.04,"(15, 25)"
1.04,"(15, 26)"
1.04,"(15, 27)"
1.04,"(15, 28)"
1.04,"(15, 29)"
1.04,"(16, 19)"
1.04,"(16, 25)"
1.04,"(16, 26)"
1.04,"(16, 27)"
1.04,"(16, 28)"
1.04,"(16, 29)"
1.04,"(17, 19)"
1.04,"(17, 25)"
1.04,"(17, 26)"
1.04,"(17, 27)"
1.04,"(17, 28)"
1.04,"(17, 29)"
1.04,"(18, 19)"
1.04,"(18, 25)"
1.04,"(18, 26)"
1.04,"(18, 27)"
1.04,"(18, 28)"
1.04,"(18, 29)"
1.04,"(19, 19)"
1.04,"(19, 25)"
1.04,"(19, 26)"
1.04,"(19, 27)"
1.04,"(19, 28)"
1.04,"(19, 29)"
1.04,"(20, 19)"
1.04,"(20, 20)"
1.04,"(20, 21)"
1.04,"(20, 22)"
1.04,"(20, 23)"
1.04,"(20, 29)"
1.04,"(21, 19)"
1.04,"(21, 20)"
1.04,"(21, 21)"
1.04,"(21, 22)"
1.04,"(21, 23)"
1.04,"(21, 29)"
1.04,"(22, 19)"
1.04,"(22, 20)"
1.04,"(22, 21)"
1.04,"(22, 22)"
1.04,"(22, 23)"
1.04,"(22, 29)"
1.04,"(23, 19)"
1.04,"(23, 20)"
1.04,"(23, 21)"
1.04,"(23, 22)"
1.04,"(23, 23)"
1.04,"(23, 29)"
1.04,"(24, 19)"
1.04,"(24, 20)"
1.04,"(24, 21)"
1.04,"(24, 22)"
1.04,"(24, 23)"
1.04,"(24, 29)"
1.04,"(25, 19)"
1.04,"(25, 25)"
1.04,"(25, 26)"
1.04,"(25, 27)"
1.04,"(25, 28)"
1.04,"(25, 29)"
1.04,"(26, 19)"
1.04,"(26, 25)"
1.04,"(26, 26)"
1.04,"(26, 27)"
1.04,"(26, 28)"
1.04,"(26, 29)"
1.04,"(27, 19)"
1.04,"(27, 25)"
1.04,"(27, 26)"
1.04,"(27, 27)"
1.04,"(27, 28)"
1.04,"(27, 29)"
1.04,"(28, 19)"
1.04,"(28, 25)"
1.04,"(28, 26)"
1.04,"(28, 27)"
1.04,"(28, 28)"
1.04,"(28, 29)"
1.04,"(29, 19)"
1.04,"(29, 25)"
1.04,"(29, 26)"
1.04,"(29, 27)"
1.04,"(29, 28)"
1.04,"(29, 29)"
1.04,"(30, 19)"
1.04,"(30, 20)"
1.04,"(30, 21)"
1.04,"(30, 22)"
1.04,"(30, 23)"
1.04,"(30, 29)"
1.04,"(31, 19)"
1.04,"(31, 20)"
1.04,"(31, 21)"
1.04,"(31, 22)"
1.04,"(31, 23)"
1.04,"(31, 29)"
1.04,"(32, 19)"
1.04,"(32, 20)"
1.04,"(32, 21)"
1.04,"(32, 22)"
1.04,"(32, 23)"
1.04,"(32, 29)"
1.04,"(33, 19)"
1.04,"(33, 20)"
1.04,"(33, 21)"
1.04,"(33, 22)"
1.04,"(33, 23)"
1.04,"(33, 29)"
1.04,"(34, 19)"
1.04,"(34, 20)"
1.04,"(34, 21)"
1.04,"(34, 22)"
1.04,"(34, 23)"
1.04,"(34, 29)"
1.04,"(35, 19)"
1.04,"(35, 20)"
1.04,"(35, 21)"
1.04,"(35, 22)"
1.04,"(35, 23)"
1.04,"(35, 29)"
1.09,"(5, 18)"
1.09,"(6, 18)"
1.09,"(7, 18)"
1.09,"(8, 18)"
1.09,"(9, 18)"
1.09,"(10, 30)"
1.09,"(11, 30)"
1.09,"(12, 30)"
1.09,"(13, 30)"
1.09,"(14, 30)"
1.09,"(15, 18)"
1.09,"(16, 18)"
1.09,"(17, 18)"
1.09,"(18, 18)"
1.09,"(19, 18)"
1.09,"(20, 30)"
1.09,"(21, 30)"
1.09,"(22, 30)"
1.09,"(23, 30)"
1.09,"(24, 30)"
1.09,"(25, 18)"
1.09,"(26, 18)"
1.09,"(27, 18)"
1.09,"(28, 18)"
1.09,"(29, 18)"
1.09,"(30, 30)"
1.09,"(31, 30)"
1.09,"(32, 30)"
1.09,"(33, 30)"
1.09,"(34, 30)"
1.09,"(35, 18)"
1.09,"(35, 30)"
1.13,"(5, 17)"
1.13,"(6, 17)"
1.13,"(7, 17)"
1.13,"(8, 17)"
1.13,"(9, 17)"
1.13,"(10, 31)"
1.13,"(11, 31)"
1.13,"(12, 31)"
1.13,"(13, 31)"
1.13,"(14, 31)"
1.13,"(15, 17)"
1.13,"(16, 17)"
1.13,"(17, 17)"
1.13,"(18, 17)"
1.13,"(19, 17)"
1.13,"(20, 31)"
1.13,"(21, 31)"
1.13,"(22, 31)"
1.13,"(23, 31)"
1.13,"(24, 31)"
1.13,"(25, 17)"
1.13,"(26, 17)"
1.13,"(27, 17)"
1.13,"(28, 17)"
1.13,"(29, 17)"
1.13,"(30, 31)"
1.13,"(31, 31)"
1.13,"(32, 31)"
1.13,"(33, 31)"
1.13,"(34, 31)"
1.13,"(35, 17)"
1.13,"(35, 31)"
1.17,"(5, 16)"
1.17,"(6, 16)"
1.17,"(7, 16)"
1.17,"(8, 16)"
1.17,"(9, 16)"
1.17,"(10, 32)"
1.17,"(11, 32)"
1.17,"(12, 32)"
1.17,"(13, 32)"
1.17,"(14, 32)"
1.17,"(15, 16)"
1.17,"(16, 16)"
1.17,"(17, 16)"
1.17,"(18, 16)"
1.17,"(19, 16)"
1.17,"(20, 32)"
1.17,"(21, 32)"
1.17,"(22, 32)"
1.17,"(23, 32)"
1.17,"(24, 32)"
1.17,"(25, 16)"
1.17,"(26, 16)"
1.17,"(27, 16)"
1.17,"(28, 16)"
1.17,"(29, 16)"
1.17,"(30, 32)"
1.17,"(31, 32)"
1.17,"(32, 32)"
1.17,"(33, 32)"
1.17,"(34, 32)"
1.17,"(35, 16)"
1.17,"(35, 32)"
1.21,"(5, 15)"
1.21,"(6, 15)"
1.21,"(7, 15)"
1.21,"(8, 15)"
1.21,"(9, 15)"
1.21,"(10, 33)"
1.21,"(11, 33)"
1.21,"(12, 33)"
1.21,"(13, 33)"
1.21,"(14, 33)"
1.21,"(15, 15)"
1.21,"(16, 15)"
1.21,"(17, 15)"
1.21,"(18, 15)"
1.21,"(19, 15)"
1.21,"(20, 33)"
1.21,"(21, 33)"
1.21,"(22, 33)"
1.21,"(23, 33)"
1.21,"(24, 33)"
1.21,"(25, 15)"
1.21,"(26, 15)"
1.21,"(27, 15)"
1.21,"(28, 15)"
1.21,"(29, 15)"
1.21,"(30, 33)"
1.21,"(31, 33)"
1.21,"(32, 33)"
1.21,"(33, 33)"
1.21,"(34, 33)"
1.21,"(35, 15)"
1.21,"(35, 33)"
1.26,"(5, 14)"
1.26,"(5, 34)"
1.26,"(6, 14)"
1.26,"(6, 34)"
1.26,"(7, 14)"
1.26,"(7, 34)"
1.26,"(8, 14)"
1.26,"(8, 34)"
1.26,"(9, 14)"
1.26,"(9, 34)"
1.26,"(10, 14)"
1.26,"(10, 34)"
1.26,"(11, 14)"
1.26,"(11, 34)"
1.26,"(12, 14)"
1.26,"(12, 34)"
1.26,"(13, 14)"
1.26,"(13, 34)"
1.26,"(14, 14)"
1.26,"(14, 34)"
1.26,"(15, 14)"
1.26,"(15, 34)"
1.26,"(16, 14)"
1.26,"(16, 34)"
1.26,"(17, 14)"
1.26,"(17, 34)"
1.26,"(18, 14)"
1.26,"(18, 34)"
1.26,"(19, 14)"
1.26,"(19, 34)"
1.26,"(20, 14)"
1.26,"(20, 34)"
1.26,"(21, 14)"
1.26,"(21, 34)"
1.26,"(22, 14)"
1.26,"(22, 34)"
1.26,"(23, 14)"
1.26,"(23, 34)"
1.26,"(24, 14)"
1.26,"(24, 34)"
1.26,"(25, 14)"
1.26,"(25, 34)"
1.26,"(26, 14)"
1.26,"(26, 34)"
1.26,"(27, 14)"
1.26,"(27, 34)"
1.26,"(28, 14)"
1.26,"(28, 34)"
1.26,"(29, 14)"
