warehouse_id,source_id,destination_id,time=0,time=1,time=2,time=3,time=4,time=5,time=6,time=7,time=8,time=9,time=10,time=11,time=12,time=13,time=14,time=15,time=16,time=17,time=18,time=19,time=20,time=21,time=22,time=23,time=24,time=25,time=26,time=27,time=28,time=29,time=30,time=31,time=32,time=33,time=34,time=35,time=36,time=37,time=38,time=39,time=40,time=41,time=42,time=43,time=44,time=45,time=46,time=47,time=48,time=49,time=50,time=51,time=52,time=53,time=54,time=55,time=56,time=57,time=58,time=59,time=60,time=61,time=62,time=63,time=64,time=65
3,16,14,"(39, 16)","(38, 16)","(38, 17)","(38, 18)","(38, 19)","(38, 20)","(38, 21)","(38, 22)","(37, 22)","(36, 22)","(35, 22)","(35, 23)","(35, 24)","(35, 25)","(35, 24)","(35, 23)","(34, 23)","(34, 22)","(34, 21)","(33, 21)","(33, 20)","(33, 19)","(32, 19)","(31, 19)","(30, 19)","(29, 19)","(28, 19)","(28, 18)","(27, 18)","(27, 17)","(27, 16)","(27, 15)","(27, 14)","(26, 14)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(3, 14)","(2, 14)","(1, 14)","(0, 14)",,,,,,
3,16,14,"(39, 16)","(38, 16)","(38, 15)","(37, 15)","(36, 15)","(36, 16)","(35, 16)","(35, 17)","(35, 18)","(35, 19)","(35, 20)","(35, 21)","(35, 22)","(34, 22)","(33, 22)","(33, 21)","(33, 20)","(33, 19)","(32, 19)","(32, 20)","(32, 21)","(32, 20)","(32, 19)","(31, 19)","(30, 19)","(29, 19)","(29, 18)","(28, 18)","(28, 17)","(27, 17)","(26, 17)","(26, 16)","(25, 16)","(25, 15)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(3, 14)","(2, 14)","(1, 14)","(0, 14)",,,,,,
3,16,14,"(39, 16)","(38, 16)","(38, 15)","(37, 15)","(37, 14)","(37, 13)","(37, 12)","(37, 11)","(36, 11)","(35, 11)","(34, 11)","(33, 11)","(32, 11)","(31, 11)","(31, 12)","(31, 13)","(31, 14)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(25, 14)","(24, 14)","(23, 14)","(23, 13)","(23, 12)","(23, 11)","(23, 10)","(23, 9)","(22, 9)","(22, 10)","(22, 11)","(22, 12)","(22, 13)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(16, 15)","(15, 15)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(3, 14)","(2, 14)","(1, 14)","(0, 14)",,,,,,
3,16,14,"(39, 16)","(38, 16)","(37, 16)","(37, 17)","(37, 18)","(37, 19)","(37, 20)","(37, 21)","(37, 22)","(37, 23)","(37, 24)","(37, 25)","(37, 24)","(37, 23)","(37, 22)","(36, 22)","(35, 22)","(35, 21)","(34, 21)","(34, 20)","(34, 19)","(33, 19)","(32, 19)","(31, 19)","(30, 19)","(29, 19)","(28, 19)","(28, 18)","(28, 17)","(28, 16)","(28, 15)","(27, 15)","(26, 15)","(25, 15)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(3, 14)","(2, 14)","(1, 14)","(0, 14)",,,,,,
3,16,14,"(39, 16)","(38, 16)","(38, 15)","(37, 15)","(37, 14)","(37, 13)","(37, 12)","(36, 12)","(35, 12)","(34, 12)","(33, 12)","(32, 12)","(32, 11)","(32, 10)","(32, 9)","(31, 9)","(30, 9)","(29, 9)","(28, 9)","(28, 8)","(28, 7)","(28, 6)","(28, 5)","(27, 5)","(27, 6)","(27, 7)","(26, 7)","(25, 7)","(25, 8)","(25, 9)","(24, 9)","(23, 9)","(23, 10)","(23, 11)","(22, 11)","(21, 11)","(21, 12)","(20, 12)","(20, 13)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(3, 14)","(2, 14)","(1, 14)","(0, 14)",,,,,,
3,16,14,"(39, 16)","(38, 16)","(37, 16)","(36, 16)","(36, 15)","(35, 15)","(35, 16)","(35, 17)","(35, 18)","(35, 19)","(34, 19)","(33, 19)","(32, 19)","(31, 19)","(30, 19)","(29, 19)","(28, 19)","(28, 18)","(28, 17)","(28, 16)","(28, 15)","(28, 14)","(27, 14)","(26, 14)","(26, 15)","(26, 16)","(26, 17)","(26, 18)","(26, 19)","(26, 18)","(26, 17)","(26, 16)","(26, 15)","(26, 14)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(3, 14)","(2, 14)","(1, 14)","(0, 14)",,,,,,
3,16,14,"(39, 16)","(38, 16)","(38, 15)","(38, 14)","(37, 14)","(37, 15)","(37, 16)","(37, 17)","(37, 18)","(37, 19)","(37, 20)","(37, 21)","(37, 22)","(37, 23)","(37, 22)","(36, 22)","(35, 22)","(34, 22)","(34, 21)","(34, 20)","(34, 19)","(33, 19)","(32, 19)","(31, 19)","(30, 19)","(29, 19)","(29, 18)","(29, 17)","(29, 16)","(28, 16)","(28, 15)","(28, 14)","(27, 14)","(26, 14)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(3, 14)","(2, 14)","(1, 14)","(0, 14)",,,,,,
3,16,14,"(39, 16)","(38, 16)","(37, 16)","(37, 17)","(37, 18)","(37, 19)","(36, 19)","(36, 18)","(36, 17)","(36, 16)","(36, 15)","(36, 14)","(36, 13)","(36, 12)","(36, 11)","(36, 10)","(35, 10)","(34, 10)","(33, 10)","(32, 10)","(31, 10)","(30, 10)","(30, 9)","(29, 9)","(28, 9)","(27, 9)","(26, 9)","(25, 9)","(25, 8)","(25, 9)","(24, 9)","(24, 10)","(24, 11)","(23, 11)","(22, 11)","(22, 12)","(21, 12)","(21, 13)","(20, 13)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(3, 14)","(2, 14)","(1, 14)","(0, 14)",,,,,,
3,16,14,"(39, 16)","(38, 16)","(37, 16)","(37, 17)","(37, 18)","(37, 19)","(37, 20)","(37, 21)","(37, 22)","(36, 22)","(35, 22)","(34, 22)","(33, 22)","(32, 22)","(31, 22)","(31, 21)","(31, 20)","(31, 19)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(26, 19)","(26, 18)","(26, 17)","(26, 16)","(26, 15)","(25, 15)","(25, 14)","(24, 14)","(23, 14)","(23, 13)","(23, 12)","(23, 11)","(23, 12)","(22, 12)","(22, 13)","(21, 13)","(20, 13)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(3, 14)","(2, 14)","(1, 14)","(0, 14)",,,,,,
3,16,14,"(39, 16)","(38, 16)","(38, 17)","(37, 17)","(36, 17)","(35, 17)","(35, 18)","(35, 19)","(34, 19)","(33, 19)","(32, 19)","(31, 19)","(30, 19)","(29, 19)","(29, 18)","(29, 17)","(29, 16)","(29, 15)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(19, 15)","(19, 16)","(18, 16)","(17, 16)","(17, 15)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(14, 13)","(14, 12)","(14, 11)","(14, 10)","(13, 10)","(13, 11)","(13, 12)","(13, 13)","(12, 13)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(3, 14)","(2, 14)","(1, 14)","(0, 14)",,,,,,
