warehouse_id,source_id,destination_id,time=0,time=1,time=2,time=3,time=4,time=5,time=6,time=7,time=8,time=9,time=10,time=11,time=12,time=13,time=14,time=15,time=16,time=17,time=18,time=19,time=20,time=21,time=22,time=23,time=24,time=25,time=26,time=27,time=28,time=29,time=30,time=31,time=32,time=33,time=34,time=35,time=36,time=37,time=38,time=39,time=40,time=41,time=42,time=43,time=44,time=45,time=46,time=47,time=48,time=49,time=50,time=51,time=52,time=53,time=54,time=55,time=56,time=57,time=58,time=59,time=60,time=61,time=62,time=63,time=64,time=65,time=66,time=67,time=68,time=69,time=70,time=71,time=72,time=73,time=74,time=75,time=76,time=77,time=78,time=79,time=80,time=81,time=82,time=83,time=84,time=85,time=86,time=87,time=88,time=89,time=90
3,18,0,"(39, 18)","(38, 18)","(37, 18)","(37, 17)","(36, 17)","(36, 16)","(35, 16)","(35, 17)","(35, 18)","(35, 19)","(35, 20)","(35, 21)","(35, 22)","(35, 23)","(35, 24)","(35, 25)","(35, 26)","(35, 27)","(35, 28)","(35, 29)","(34, 29)","(33, 29)","(32, 29)","(31, 29)","(30, 29)","(29, 29)","(29, 28)","(29, 27)","(29, 26)","(28, 26)","(27, 26)","(27, 25)","(26, 25)","(26, 24)","(25, 24)","(24, 24)","(23, 24)","(22, 24)","(22, 23)","(22, 22)","(22, 21)","(22, 20)","(22, 19)","(21, 19)","(20, 19)","(19, 19)","(19, 18)","(19, 17)","(18, 17)","(17, 17)","(17, 16)","(17, 15)","(16, 15)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(11, 13)","(10, 13)","(10, 12)","(10, 11)","(10, 10)","(10, 9)","(9, 9)","(8, 9)","(7, 9)","(6, 9)","(5, 9)","(5, 8)","(4, 8)","(4, 7)","(4, 6)","(4, 5)","(4, 4)","(4, 3)","(4, 2)","(3, 2)","(2, 2)","(2, 1)","(2, 0)","(1, 0)","(0, 0)",,,,,,,
3,18,0,"(39, 18)","(38, 18)","(37, 18)","(36, 18)","(36, 17)","(35, 17)","(35, 16)","(35, 15)","(35, 14)","(35, 13)","(34, 13)","(33, 13)","(33, 12)","(33, 11)","(33, 10)","(33, 9)","(32, 9)","(32, 10)","(31, 10)","(30, 10)","(30, 9)","(29, 9)","(28, 9)","(27, 9)","(26, 9)","(26, 8)","(26, 7)","(26, 6)","(25, 6)","(25, 7)","(25, 8)","(25, 9)","(24, 9)","(23, 9)","(22, 9)","(21, 9)","(20, 9)","(19, 9)","(18, 9)","(17, 9)","(16, 9)","(15, 9)","(14, 9)","(13, 9)","(12, 9)","(11, 9)","(10, 9)","(10, 10)","(10, 11)","(10, 12)","(10, 13)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(3, 14)","(3, 13)","(2, 13)","(2, 14)","(2, 15)","(2, 16)","(2, 17)","(2, 16)","(1, 16)","(1, 15)","(1, 14)","(1, 13)","(1, 12)","(1, 11)","(1, 10)","(1, 9)","(1, 8)","(1, 7)","(1, 6)","(1, 5)","(1, 4)","(1, 3)","(1, 2)","(1, 1)","(1, 0)","(0, 0)",,,,,,,
3,18,0,"(39, 18)","(38, 18)","(38, 17)","(38, 16)","(38, 15)","(38, 14)","(38, 13)","(38, 12)","(37, 12)","(36, 12)","(36, 11)","(36, 10)","(36, 9)","(36, 8)","(36, 7)","(35, 7)","(35, 6)","(35, 5)","(35, 4)","(34, 4)","(34, 3)","(34, 2)","(34, 1)","(34, 0)","(33, 0)","(32, 0)","(32, 1)","(32, 2)","(32, 3)","(32, 4)","(31, 4)","(31, 3)","(31, 2)","(31, 1)","(31, 0)","(30, 0)","(30, 1)","(30, 2)","(30, 3)","(30, 4)","(29, 4)","(28, 4)","(27, 4)","(27, 5)","(27, 6)","(27, 7)","(27, 8)","(26, 8)","(25, 8)","(25, 7)","(25, 6)","(25, 5)","(25, 4)","(24, 4)","(23, 4)","(22, 4)","(21, 4)","(21, 3)","(21, 4)","(20, 4)","(19, 4)","(18, 4)","(17, 4)","(16, 4)","(15, 4)","(14, 4)","(13, 4)","(12, 4)","(11, 4)","(10, 4)","(9, 4)","(8, 4)","(7, 4)","(6, 4)","(5, 4)","(4, 4)","(4, 3)","(3, 3)","(3, 2)","(2, 2)","(2, 1)","(2, 0)","(1, 0)","(0, 0)",,,,,,,
3,18,0,"(39, 18)","(38, 18)","(38, 19)","(38, 20)","(38, 21)","(38, 22)","(38, 23)","(38, 24)","(37, 24)","(36, 24)","(35, 24)","(34, 24)","(33, 24)","(32, 24)","(31, 24)","(30, 24)","(30, 23)","(30, 22)","(30, 21)","(30, 20)","(30, 19)","(29, 19)","(28, 19)","(28, 18)","(28, 17)","(28, 16)","(28, 15)","(28, 14)","(27, 14)","(27, 15)","(27, 16)","(26, 16)","(25, 16)","(25, 15)","(25, 14)","(24, 14)","(23, 14)","(23, 13)","(23, 12)","(23, 11)","(23, 10)","(23, 9)","(22, 9)","(21, 9)","(20, 9)","(19, 9)","(18, 9)","(17, 9)","(16, 9)","(16, 8)","(16, 7)","(16, 6)","(16, 5)","(16, 4)","(15, 4)","(15, 5)","(15, 6)","(15, 7)","(15, 8)","(15, 9)","(14, 9)","(13, 9)","(12, 9)","(11, 9)","(10, 9)","(9, 9)","(8, 9)","(8, 8)","(7, 8)","(7, 7)","(6, 7)","(5, 7)","(5, 6)","(5, 5)","(4, 5)","(3, 5)","(3, 4)","(2, 4)","(1, 4)","(1, 3)","(1, 2)","(1, 1)","(1, 0)","(0, 0)",,,,,,,
3,18,0,"(39, 18)","(38, 18)","(38, 17)","(38, 16)","(37, 16)","(37, 15)","(37, 14)","(36, 14)","(35, 14)","(35, 13)","(34, 13)","(33, 13)","(33, 12)","(32, 12)","(32, 13)","(32, 14)","(31, 14)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(22, 13)","(22, 12)","(22, 11)","(21, 11)","(21, 12)","(21, 13)","(21, 14)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(16, 15)","(15, 15)","(15, 16)","(15, 17)","(15, 18)","(15, 19)","(14, 19)","(14, 20)","(13, 20)","(12, 20)","(11, 20)","(11, 21)","(11, 22)","(10, 22)","(10, 21)","(10, 20)","(10, 19)","(9, 19)","(9, 18)","(9, 17)","(8, 17)","(7, 17)","(6, 17)","(5, 17)","(5, 16)","(5, 15)","(5, 14)","(4, 14)","(3, 14)","(2, 14)","(2, 13)","(2, 12)","(2, 11)","(1, 11)","(1, 10)","(1, 9)","(1, 8)","(1, 7)","(1, 6)","(1, 5)","(1, 4)","(1, 3)","(1, 2)","(1, 1)","(1, 0)","(0, 0)",,,,,,,
3,18,0,"(39, 18)","(38, 18)","(37, 18)","(37, 17)","(37, 16)","(37, 15)","(36, 15)","(35, 15)","(35, 16)","(35, 17)","(35, 18)","(35, 19)","(35, 20)","(34, 20)","(33, 20)","(32, 20)","(31, 20)","(30, 20)","(30, 21)","(30, 22)","(30, 23)","(30, 24)","(29, 24)","(28, 24)","(28, 25)","(28, 26)","(28, 27)","(27, 27)","(26, 27)","(25, 27)","(25, 26)","(25, 25)","(25, 24)","(24, 24)","(23, 24)","(22, 24)","(21, 24)","(20, 24)","(20, 23)","(20, 22)","(20, 21)","(20, 20)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(17, 18)","(17, 17)","(17, 16)","(17, 15)","(17, 14)","(16, 14)","(16, 15)","(15, 15)","(15, 14)","(14, 14)","(14, 13)","(13, 13)","(13, 12)","(13, 11)","(13, 10)","(12, 10)","(11, 10)","(10, 10)","(10, 9)","(9, 9)","(9, 8)","(8, 8)","(8, 7)","(8, 6)","(7, 6)","(6, 6)","(6, 5)","(5, 5)","(5, 4)","(4, 4)","(4, 3)","(3, 3)","(3, 2)","(3, 1)","(2, 1)","(1, 1)","(1, 0)","(0, 0)",,,,,,,
3,18,0,"(39, 18)","(38, 18)","(38, 17)","(38, 16)","(38, 15)","(38, 14)","(37, 14)","(36, 14)","(35, 14)","(35, 15)","(35, 16)","(35, 17)","(35, 18)","(35, 19)","(35, 20)","(35, 21)","(35, 22)","(35, 23)","(35, 24)","(34, 24)","(33, 24)","(32, 24)","(31, 24)","(30, 24)","(29, 24)","(28, 24)","(28, 25)","(28, 26)","(28, 27)","(27, 27)","(27, 26)","(26, 26)","(26, 25)","(26, 24)","(25, 24)","(24, 24)","(23, 24)","(22, 24)","(21, 24)","(20, 24)","(19, 24)","(18, 24)","(17, 24)","(16, 24)","(15, 24)","(14, 24)","(14, 23)","(13, 23)","(13, 22)","(13, 21)","(13, 20)","(12, 20)","(11, 20)","(11, 19)","(10, 19)","(9, 19)","(8, 19)","(7, 19)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(1, 17)","(1, 16)","(1, 15)","(1, 14)","(1, 13)","(1, 12)","(1, 11)","(1, 10)","(1, 9)","(1, 8)","(1, 7)","(1, 6)","(1, 5)","(1, 4)","(1, 3)","(1, 2)","(1, 1)","(1, 0)","(0, 0)",,,,,,,
3,18,0,"(39, 18)","(38, 18)","(37, 18)","(37, 17)","(36, 17)","(36, 16)","(36, 15)","(36, 14)","(36, 13)","(35, 13)","(35, 12)","(34, 12)","(34, 13)","(34, 14)","(33, 14)","(32, 14)","(31, 14)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(26, 15)","(25, 15)","(25, 16)","(25, 17)","(25, 18)","(25, 19)","(24, 19)","(24, 20)","(24, 21)","(24, 22)","(24, 23)","(24, 24)","(23, 24)","(22, 24)","(21, 24)","(20, 24)","(19, 24)","(18, 24)","(17, 24)","(17, 25)","(17, 24)","(16, 24)","(15, 24)","(14, 24)","(13, 24)","(12, 24)","(12, 23)","(11, 23)","(10, 23)","(10, 22)","(10, 21)","(10, 20)","(10, 19)","(9, 19)","(8, 19)","(7, 19)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(2, 17)","(1, 17)","(1, 16)","(1, 15)","(1, 14)","(1, 13)","(1, 12)","(1, 11)","(1, 10)","(1, 9)","(1, 8)","(1, 7)","(1, 6)","(1, 5)","(1, 4)","(1, 3)","(1, 2)","(1, 1)","(1, 0)","(0, 0)",,,,,,,
3,18,0,"(39, 18)","(38, 18)","(38, 17)","(37, 17)","(36, 17)","(36, 16)","(35, 16)","(35, 15)","(35, 14)","(34, 14)","(34, 13)","(34, 12)","(34, 11)","(33, 11)","(33, 10)","(32, 10)","(32, 9)","(31, 9)","(30, 9)","(30, 10)","(30, 11)","(30, 12)","(30, 13)","(30, 14)","(29, 14)","(28, 14)","(28, 15)","(28, 16)","(28, 17)","(27, 17)","(27, 18)","(27, 19)","(26, 19)","(25, 19)","(24, 19)","(23, 19)","(23, 20)","(23, 21)","(23, 22)","(22, 22)","(22, 21)","(21, 21)","(21, 20)","(21, 19)","(20, 19)","(19, 19)","(19, 18)","(18, 18)","(18, 17)","(18, 16)","(17, 16)","(16, 16)","(15, 16)","(15, 15)","(15, 14)","(14, 14)","(14, 13)","(13, 13)","(13, 12)","(12, 12)","(11, 12)","(10, 12)","(10, 11)","(10, 10)","(10, 9)","(9, 9)","(9, 8)","(9, 7)","(9, 6)","(9, 5)","(8, 5)","(7, 5)","(6, 5)","(5, 5)","(4, 5)","(3, 5)","(2, 5)","(2, 4)","(2, 3)","(1, 3)","(1, 2)","(1, 1)","(1, 0)","(0, 0)",,,,,,,
3,18,0,"(39, 18)","(38, 18)","(38, 19)","(37, 19)","(36, 19)","(36, 18)","(36, 17)","(36, 16)","(35, 16)","(35, 17)","(35, 18)","(35, 19)","(34, 19)","(33, 19)","(32, 19)","(31, 19)","(30, 19)","(29, 19)","(29, 18)","(29, 17)","(29, 16)","(29, 15)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(25, 14)","(24, 14)","(24, 13)","(24, 12)","(24, 11)","(24, 10)","(24, 9)","(23, 9)","(22, 9)","(22, 10)","(21, 10)","(20, 10)","(20, 11)","(20, 12)","(20, 13)","(20, 14)","(19, 14)","(18, 14)","(18, 15)","(18, 16)","(18, 17)","(18, 18)","(17, 18)","(16, 18)","(16, 17)","(15, 17)","(15, 16)","(15, 15)","(15, 14)","(14, 14)","(13, 14)","(13, 13)","(13, 12)","(12, 12)","(11, 12)","(10, 12)","(10, 11)","(10, 10)","(10, 9)","(9, 9)","(8, 9)","(7, 9)","(6, 9)","(5, 9)","(5, 8)","(5, 7)","(4, 7)","(3, 7)","(2, 7)","(2, 6)","(2, 5)","(2, 4)","(2, 3)","(1, 3)","(1, 2)","(1, 1)","(1, 0)","(0, 0)",,,,,,,
