warehouse_id,source_id,destination_id,time=0,time=1,time=2,time=3,time=4,time=5,time=6,time=7,time=8,time=9,time=10,time=11,time=12,time=13,time=14,time=15,time=16,time=17,time=18,time=19,time=20,time=21,time=22,time=23,time=24,time=25,time=26,time=27,time=28,time=29,time=30,time=31,time=32,time=33,time=34,time=35,time=36,time=37,time=38,time=39,time=40,time=41,time=42,time=43,time=44,time=45,time=46,time=47,time=48,time=49,time=50,time=51,time=52,time=53,time=54,time=55,time=56,time=57,time=58,time=59,time=60,time=61,time=62,time=63
3,28,29,"(39, 28)","(38, 28)","(37, 28)","(36, 28)","(35, 28)","(35, 27)","(35, 26)","(35, 25)","(35, 24)","(35, 23)","(35, 22)","(35, 21)","(34, 21)","(33, 21)","(32, 21)","(31, 21)","(30, 21)","(30, 20)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(26, 19)","(25, 19)","(24, 19)","(24, 20)","(23, 20)","(23, 21)","(23, 22)","(22, 22)","(21, 22)","(20, 22)","(20, 23)","(20, 24)","(19, 24)","(18, 24)","(18, 25)","(17, 25)","(17, 26)","(16, 26)","(15, 26)","(15, 27)","(15, 28)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(8, 29)","(7, 29)","(6, 29)","(5, 29)","(4, 29)","(3, 29)","(2, 29)","(1, 29)","(0, 29)",,,,,
3,28,29,"(39, 28)","(38, 28)","(38, 29)","(38, 30)","(38, 31)","(38, 32)","(37, 32)","(36, 32)","(36, 31)","(36, 30)","(36, 29)","(35, 29)","(34, 29)","(33, 29)","(33, 30)","(33, 31)","(33, 32)","(33, 33)","(33, 34)","(32, 34)","(31, 34)","(30, 34)","(30, 33)","(30, 32)","(30, 31)","(30, 30)","(30, 29)","(29, 29)","(28, 29)","(28, 28)","(28, 29)","(27, 29)","(26, 29)","(25, 29)","(24, 29)","(23, 29)","(22, 29)","(21, 29)","(20, 29)","(19, 29)","(18, 29)","(17, 29)","(16, 29)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(8, 29)","(7, 29)","(6, 29)","(5, 29)","(4, 29)","(3, 29)","(2, 29)","(1, 29)","(0, 29)",,,,,
3,28,29,"(39, 28)","(38, 28)","(37, 28)","(37, 27)","(37, 26)","(37, 25)","(37, 24)","(37, 23)","(37, 22)","(37, 21)","(37, 20)","(37, 19)","(36, 19)","(36, 20)","(35, 20)","(35, 21)","(34, 21)","(33, 21)","(33, 22)","(32, 22)","(32, 23)","(31, 23)","(30, 23)","(30, 24)","(29, 24)","(28, 24)","(27, 24)","(26, 24)","(26, 25)","(25, 25)","(25, 26)","(25, 27)","(25, 28)","(25, 29)","(24, 29)","(23, 29)","(22, 29)","(21, 29)","(20, 29)","(19, 29)","(18, 29)","(17, 29)","(16, 29)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(8, 29)","(7, 29)","(6, 29)","(5, 29)","(4, 29)","(3, 29)","(2, 29)","(1, 29)","(0, 29)",,,,,
3,28,29,"(39, 28)","(38, 28)","(38, 27)","(38, 26)","(38, 25)","(38, 24)","(38, 23)","(37, 23)","(36, 23)","(36, 24)","(36, 25)","(36, 26)","(35, 26)","(35, 25)","(35, 24)","(35, 23)","(35, 22)","(34, 22)","(34, 23)","(34, 24)","(33, 24)","(32, 24)","(31, 24)","(30, 24)","(29, 24)","(28, 24)","(27, 24)","(27, 25)","(26, 25)","(25, 25)","(25, 26)","(25, 27)","(25, 28)","(25, 29)","(24, 29)","(23, 29)","(22, 29)","(21, 29)","(20, 29)","(19, 29)","(18, 29)","(17, 29)","(16, 29)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(8, 29)","(7, 29)","(6, 29)","(5, 29)","(4, 29)","(3, 29)","(2, 29)","(1, 29)","(0, 29)",,,,,
3,28,29,"(39, 28)","(38, 28)","(38, 27)","(37, 27)","(36, 27)","(35, 27)","(35, 26)","(35, 25)","(35, 24)","(35, 23)","(35, 22)","(35, 21)","(35, 20)","(34, 20)","(33, 20)","(32, 20)","(31, 20)","(30, 20)","(30, 21)","(30, 22)","(30, 23)","(30, 24)","(29, 24)","(28, 24)","(28, 25)","(28, 26)","(27, 26)","(27, 25)","(26, 25)","(25, 25)","(25, 26)","(25, 27)","(25, 28)","(25, 29)","(24, 29)","(23, 29)","(22, 29)","(21, 29)","(20, 29)","(19, 29)","(18, 29)","(17, 29)","(16, 29)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(8, 29)","(7, 29)","(6, 29)","(5, 29)","(4, 29)","(3, 29)","(2, 29)","(1, 29)","(0, 29)",,,,,
3,28,29,"(39, 28)","(38, 28)","(38, 27)","(37, 27)","(37, 26)","(37, 25)","(37, 24)","(37, 23)","(36, 23)","(36, 24)","(36, 25)","(36, 26)","(35, 26)","(35, 25)","(35, 24)","(34, 24)","(33, 24)","(32, 24)","(32, 23)","(32, 22)","(32, 23)","(32, 24)","(31, 24)","(30, 24)","(29, 24)","(29, 25)","(29, 26)","(28, 26)","(28, 27)","(27, 27)","(26, 27)","(26, 28)","(25, 28)","(25, 29)","(24, 29)","(23, 29)","(22, 29)","(21, 29)","(20, 29)","(19, 29)","(18, 29)","(17, 29)","(16, 29)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(8, 29)","(7, 29)","(6, 29)","(5, 29)","(4, 29)","(3, 29)","(2, 29)","(1, 29)","(0, 29)",,,,,
3,28,29,"(39, 28)","(38, 28)","(37, 28)","(37, 29)","(36, 29)","(36, 30)","(36, 31)","(36, 32)","(36, 33)","(35, 33)","(34, 33)","(34, 34)","(33, 34)","(32, 34)","(32, 33)","(32, 32)","(31, 32)","(30, 32)","(30, 33)","(30, 34)","(29, 34)","(28, 34)","(27, 34)","(26, 34)","(26, 35)","(26, 36)","(25, 36)","(25, 35)","(25, 34)","(24, 34)","(23, 34)","(23, 33)","(23, 32)","(23, 31)","(23, 30)","(22, 30)","(21, 30)","(20, 30)","(20, 29)","(19, 29)","(18, 29)","(17, 29)","(16, 29)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(8, 29)","(7, 29)","(6, 29)","(5, 29)","(4, 29)","(3, 29)","(2, 29)","(1, 29)","(0, 29)",,,,,
3,28,29,"(39, 28)","(38, 28)","(38, 27)","(37, 27)","(36, 27)","(36, 26)","(36, 25)","(36, 24)","(36, 23)","(36, 22)","(36, 21)","(36, 20)","(36, 19)","(35, 19)","(35, 20)","(34, 20)","(34, 21)","(33, 21)","(33, 22)","(32, 22)","(32, 23)","(31, 23)","(30, 23)","(30, 24)","(29, 24)","(29, 25)","(28, 25)","(27, 25)","(26, 25)","(25, 25)","(25, 26)","(25, 27)","(25, 28)","(25, 29)","(24, 29)","(23, 29)","(22, 29)","(21, 29)","(20, 29)","(19, 29)","(18, 29)","(17, 29)","(16, 29)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(8, 29)","(7, 29)","(6, 29)","(5, 29)","(4, 29)","(3, 29)","(2, 29)","(1, 29)","(0, 29)",,,,,
3,28,29,"(39, 28)","(38, 28)","(38, 27)","(38, 26)","(38, 25)","(38, 24)","(37, 24)","(36, 24)","(35, 24)","(35, 25)","(35, 26)","(35, 27)","(35, 28)","(35, 29)","(35, 30)","(35, 31)","(35, 32)","(35, 33)","(35, 34)","(35, 33)","(34, 33)","(34, 32)","(34, 31)","(34, 30)","(34, 29)","(33, 29)","(32, 29)","(31, 29)","(30, 29)","(29, 29)","(28, 29)","(27, 29)","(26, 29)","(25, 29)","(24, 29)","(23, 29)","(22, 29)","(21, 29)","(20, 29)","(19, 29)","(18, 29)","(17, 29)","(16, 29)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(8, 29)","(7, 29)","(6, 29)","(5, 29)","(4, 29)","(3, 29)","(2, 29)","(1, 29)","(0, 29)",,,,,
3,28,29,"(39, 28)","(38, 28)","(38, 29)","(38, 30)","(38, 31)","(38, 32)","(38, 33)","(38, 34)","(38, 35)","(37, 35)","(36, 35)","(35, 35)","(35, 34)","(35, 33)","(35, 32)","(35, 31)","(34, 31)","(33, 31)","(32, 31)","(31, 31)","(30, 31)","(30, 32)","(30, 33)","(30, 34)","(29, 34)","(28, 34)","(27, 34)","(26, 34)","(25, 34)","(24, 34)","(23, 34)","(22, 34)","(22, 33)","(22, 32)","(22, 31)","(22, 30)","(22, 29)","(21, 29)","(20, 29)","(19, 29)","(18, 29)","(17, 29)","(16, 29)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(8, 29)","(7, 29)","(6, 29)","(5, 29)","(4, 29)","(3, 29)","(2, 29)","(1, 29)","(0, 29)",,,,,
