warehouse_id,source_id,destination_id,time=0,time=1,time=2,time=3,time=4,time=5,time=6,time=7,time=8,time=9,time=10,time=11,time=12,time=13,time=14,time=15,time=16,time=17,time=18,time=19,time=20,time=21,time=22,time=23,time=24,time=25,time=26,time=27,time=28,time=29,time=30,time=31,time=32,time=33,time=34,time=35,time=36,time=37,time=38,time=39,time=40,time=41,time=42,time=43,time=44,time=45,time=46,time=47,time=48,time=49,time=50,time=51,time=52,time=53,time=54,time=55,time=56,time=57,time=58,time=59,time=60,time=61,time=62,time=63,time=64,time=65,time=66,time=67,time=68,time=69,time=70,time=71,time=72,time=73,time=74,time=75,time=76,time=77,time=78,time=79,time=80,time=81,time=82,time=83,time=84,time=85,time=86,time=87,time=88,time=89,time=90,time=91,time=92,time=93,time=94,time=95,time=96,time=97,time=98,time=99,time=100,time=101,time=102,time=103,time=104,time=105,time=106,time=107,time=108,time=109,time=110,time=111
3,38,7,"(39, 38)","(38, 38)","(38, 37)","(38, 36)","(38, 35)","(38, 34)","(38, 33)","(37, 33)","(37, 34)","(37, 35)","(37, 36)","(36, 36)","(35, 36)","(35, 35)","(35, 34)","(35, 33)","(34, 33)","(34, 34)","(33, 34)","(32, 34)","(31, 34)","(30, 34)","(29, 34)","(28, 34)","(28, 35)","(27, 35)","(26, 35)","(26, 34)","(25, 34)","(25, 35)","(25, 36)","(25, 37)","(25, 38)","(25, 39)","(24, 39)","(23, 39)","(22, 39)","(21, 39)","(20, 39)","(19, 39)","(18, 39)","(17, 39)","(16, 39)","(16, 38)","(16, 37)","(15, 37)","(15, 36)","(15, 35)","(15, 34)","(14, 34)","(13, 34)","(12, 34)","(12, 33)","(11, 33)","(10, 33)","(10, 34)","(9, 34)","(8, 34)","(7, 34)","(7, 35)","(7, 36)","(7, 37)","(7, 38)","(7, 39)","(6, 39)","(5, 39)","(5, 38)","(5, 37)","(5, 36)","(5, 35)","(4, 35)","(3, 35)","(2, 35)","(2, 36)","(2, 35)","(1, 35)","(1, 34)","(1, 33)","(1, 32)","(1, 31)","(1, 30)","(1, 29)","(1, 28)","(1, 27)","(1, 26)","(1, 25)","(1, 24)","(1, 23)","(1, 22)","(1, 21)","(1, 20)","(1, 19)","(1, 18)","(1, 17)","(1, 16)","(1, 15)","(1, 14)","(1, 13)","(1, 12)","(1, 11)","(1, 10)","(1, 9)","(1, 8)","(1, 7)","(0, 7)",,,,,,,
3,38,7,"(39, 38)","(38, 38)","(38, 39)","(37, 39)","(37, 38)","(36, 38)","(36, 37)","(36, 36)","(36, 35)","(35, 35)","(35, 36)","(35, 37)","(35, 38)","(35, 39)","(34, 39)","(33, 39)","(32, 39)","(31, 39)","(30, 39)","(29, 39)","(28, 39)","(27, 39)","(26, 39)","(26, 38)","(26, 37)","(26, 36)","(25, 36)","(25, 37)","(25, 38)","(25, 39)","(24, 39)","(23, 39)","(22, 39)","(21, 39)","(20, 39)","(19, 39)","(19, 38)","(19, 37)","(19, 36)","(18, 36)","(18, 35)","(18, 34)","(17, 34)","(16, 34)","(15, 34)","(14, 34)","(14, 33)","(14, 32)","(14, 31)","(13, 31)","(13, 30)","(13, 29)","(12, 29)","(11, 29)","(11, 30)","(11, 31)","(10, 31)","(10, 32)","(10, 33)","(10, 34)","(9, 34)","(9, 35)","(9, 36)","(9, 37)","(9, 38)","(8, 38)","(7, 38)","(6, 38)","(5, 38)","(5, 37)","(5, 36)","(5, 35)","(5, 34)","(4, 34)","(4, 33)","(3, 33)","(3, 32)","(2, 32)","(1, 32)","(1, 31)","(1, 30)","(1, 29)","(1, 28)","(1, 27)","(1, 26)","(1, 25)","(1, 24)","(1, 23)","(1, 22)","(1, 21)","(1, 20)","(1, 19)","(1, 18)","(1, 17)","(1, 16)","(1, 15)","(1, 14)","(1, 13)","(1, 12)","(1, 11)","(1, 10)","(1, 9)","(1, 8)","(1, 7)","(0, 7)",,,,,,,
3,38,7,"(39, 38)","(38, 38)","(38, 37)","(38, 36)","(38, 35)","(37, 35)","(37, 36)","(37, 37)","(36, 37)","(35, 37)","(35, 36)","(35, 35)","(35, 34)","(35, 33)","(34, 33)","(33, 33)","(32, 33)","(31, 33)","(30, 33)","(30, 32)","(30, 31)","(30, 30)","(30, 29)","(29, 29)","(28, 29)","(28, 28)","(28, 27)","(28, 26)","(27, 26)","(27, 27)","(27, 28)","(27, 29)","(26, 29)","(25, 29)","(24, 29)","(23, 29)","(22, 29)","(21, 29)","(20, 29)","(19, 29)","(18, 29)","(17, 29)","(17, 28)","(17, 27)","(17, 26)","(17, 25)","(17, 24)","(16, 24)","(15, 24)","(14, 24)","(14, 23)","(14, 22)","(14, 21)","(13, 21)","(12, 21)","(11, 21)","(11, 22)","(10, 22)","(10, 21)","(10, 20)","(10, 19)","(9, 19)","(9, 18)","(8, 18)","(7, 18)","(6, 18)","(6, 17)","(6, 16)","(6, 15)","(6, 14)","(5, 14)","(4, 14)","(4, 13)","(4, 12)","(3, 12)","(3, 13)","(3, 14)","(3, 15)","(3, 16)","(3, 17)","(3, 18)","(3, 19)","(3, 20)","(2, 20)","(2, 21)","(2, 22)","(2, 23)","(1, 23)","(1, 22)","(1, 21)","(1, 20)","(1, 19)","(1, 18)","(1, 17)","(1, 16)","(1, 15)","(1, 14)","(1, 13)","(1, 12)","(1, 11)","(1, 10)","(1, 9)","(1, 8)","(1, 7)","(0, 7)",,,,,,,
3,38,7,"(39, 38)","(38, 38)","(38, 37)","(37, 37)","(36, 37)","(36, 36)","(36, 35)","(35, 35)","(35, 34)","(35, 33)","(35, 32)","(34, 32)","(34, 33)","(34, 34)","(33, 34)","(32, 34)","(32, 33)","(32, 32)","(32, 31)","(32, 30)","(31, 30)","(30, 30)","(30, 29)","(29, 29)","(28, 29)","(27, 29)","(26, 29)","(25, 29)","(24, 29)","(23, 29)","(22, 29)","(21, 29)","(20, 29)","(19, 29)","(18, 29)","(17, 29)","(16, 29)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(10, 30)","(10, 31)","(10, 32)","(10, 33)","(10, 34)","(9, 34)","(8, 34)","(8, 35)","(8, 36)","(8, 37)","(8, 38)","(8, 39)","(7, 39)","(6, 39)","(5, 39)","(5, 38)","(5, 37)","(5, 36)","(5, 35)","(5, 34)","(4, 34)","(3, 34)","(3, 35)","(3, 36)","(3, 37)","(3, 38)","(3, 39)","(2, 39)","(2, 38)","(1, 38)","(1, 37)","(1, 36)","(1, 35)","(1, 34)","(1, 33)","(1, 32)","(1, 31)","(1, 30)","(1, 29)","(1, 28)","(1, 27)","(1, 26)","(1, 25)","(1, 24)","(1, 23)","(1, 22)","(1, 21)","(1, 20)","(1, 19)","(1, 18)","(1, 17)","(1, 16)","(1, 15)","(1, 14)","(1, 13)","(1, 12)","(1, 11)","(1, 10)","(1, 9)","(1, 8)","(1, 7)","(0, 7)",,,,,,,
3,38,7,"(39, 38)","(38, 38)","(38, 39)","(37, 39)","(37, 38)","(37, 37)","(37, 36)","(37, 35)","(37, 34)","(37, 33)","(37, 32)","(37, 31)","(37, 30)","(37, 29)","(37, 28)","(37, 27)","(37, 26)","(37, 25)","(37, 24)","(37, 23)","(37, 22)","(37, 21)","(37, 20)","(37, 19)","(37, 18)","(37, 17)","(37, 16)","(37, 15)","(37, 14)","(37, 13)","(37, 12)","(36, 12)","(35, 12)","(34, 12)","(33, 12)","(32, 12)","(31, 12)","(30, 12)","(30, 11)","(30, 10)","(30, 9)","(29, 9)","(28, 9)","(27, 9)","(26, 9)","(25, 9)","(25, 8)","(25, 7)","(25, 6)","(25, 5)","(25, 4)","(24, 4)","(23, 4)","(22, 4)","(21, 4)","(20, 4)","(19, 4)","(18, 4)","(18, 5)","(18, 6)","(18, 7)","(18, 8)","(18, 9)","(17, 9)","(16, 9)","(15, 9)","(14, 9)","(13, 9)","(12, 9)","(12, 10)","(12, 11)","(12, 12)","(12, 13)","(11, 13)","(10, 13)","(10, 14)","(9, 14)","(8, 14)","(8, 15)","(7, 15)","(6, 15)","(5, 15)","(4, 15)","(3, 15)","(3, 14)","(3, 13)","(2, 13)","(2, 12)","(2, 11)","(2, 10)","(2, 9)","(2, 8)","(2, 7)","(2, 6)","(2, 5)","(2, 4)","(2, 3)","(2, 2)","(2, 3)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(1, 7)","(0, 7)",,,,,,,
3,38,7,"(39, 38)","(38, 38)","(37, 38)","(37, 37)","(36, 37)","(35, 37)","(35, 36)","(35, 35)","(35, 34)","(35, 33)","(34, 33)","(33, 33)","(33, 32)","(33, 31)","(32, 31)","(32, 30)","(31, 30)","(31, 29)","(30, 29)","(29, 29)","(28, 29)","(28, 28)","(27, 28)","(27, 27)","(26, 27)","(26, 26)","(26, 25)","(26, 24)","(25, 24)","(25, 25)","(25, 26)","(25, 27)","(25, 28)","(25, 29)","(24, 29)","(23, 29)","(22, 29)","(22, 30)","(22, 31)","(22, 32)","(22, 33)","(22, 34)","(21, 34)","(20, 34)","(20, 33)","(20, 32)","(20, 31)","(20, 30)","(20, 29)","(19, 29)","(19, 28)","(19, 27)","(19, 26)","(18, 26)","(17, 26)","(16, 26)","(15, 26)","(15, 27)","(15, 28)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(8, 29)","(7, 29)","(6, 29)","(5, 29)","(4, 29)","(3, 29)","(3, 30)","(3, 31)","(3, 32)","(3, 33)","(2, 33)","(2, 32)","(2, 31)","(2, 30)","(1, 30)","(1, 29)","(1, 28)","(1, 27)","(1, 26)","(1, 25)","(1, 24)","(1, 23)","(1, 22)","(1, 21)","(1, 20)","(1, 19)","(1, 18)","(1, 17)","(1, 16)","(1, 15)","(1, 14)","(1, 13)","(1, 12)","(1, 11)","(1, 10)","(1, 9)","(1, 8)","(1, 7)","(0, 7)",,,,,,,
3,38,7,"(39, 38)","(38, 38)","(38, 37)","(38, 36)","(38, 35)","(38, 34)","(37, 34)","(37, 35)","(37, 36)","(37, 37)","(37, 38)","(37, 39)","(36, 39)","(35, 39)","(35, 38)","(35, 37)","(35, 36)","(35, 35)","(35, 34)","(35, 33)","(35, 32)","(35, 31)","(35, 30)","(35, 29)","(35, 28)","(35, 27)","(35, 26)","(35, 25)","(35, 24)","(35, 23)","(35, 22)","(35, 21)","(35, 20)","(34, 20)","(33, 20)","(32, 20)","(31, 20)","(30, 20)","(30, 21)","(30, 22)","(30, 23)","(30, 24)","(29, 24)","(28, 24)","(27, 24)","(26, 24)","(26, 25)","(25, 25)","(25, 24)","(24, 24)","(23, 24)","(22, 24)","(21, 24)","(20, 24)","(19, 24)","(19, 25)","(19, 26)","(19, 27)","(19, 28)","(19, 29)","(18, 29)","(17, 29)","(16, 29)","(16, 28)","(16, 27)","(16, 26)","(16, 25)","(16, 24)","(15, 24)","(14, 24)","(13, 24)","(12, 24)","(11, 24)","(10, 24)","(10, 23)","(10, 22)","(10, 21)","(10, 20)","(10, 19)","(9, 19)","(9, 18)","(9, 17)","(9, 16)","(9, 15)","(9, 14)","(8, 14)","(7, 14)","(7, 15)","(7, 16)","(7, 15)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(4, 13)","(3, 13)","(3, 12)","(2, 12)","(2, 11)","(1, 11)","(1, 10)","(1, 9)","(1, 8)","(1, 7)","(0, 7)",,,,,,,
3,38,7,"(39, 38)","(38, 38)","(37, 38)","(37, 37)","(37, 36)","(37, 35)","(36, 35)","(36, 34)","(35, 34)","(34, 34)","(34, 33)","(33, 33)","(32, 33)","(32, 32)","(31, 32)","(31, 33)","(31, 34)","(30, 34)","(30, 33)","(30, 32)","(30, 31)","(30, 30)","(30, 29)","(29, 29)","(29, 28)","(29, 27)","(28, 27)","(28, 26)","(28, 25)","(27, 25)","(26, 25)","(25, 25)","(25, 24)","(24, 24)","(23, 24)","(22, 24)","(21, 24)","(21, 23)","(21, 22)","(20, 22)","(20, 21)","(20, 20)","(20, 19)","(19, 19)","(18, 19)","(18, 18)","(17, 18)","(16, 18)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(10, 20)","(10, 21)","(10, 22)","(10, 23)","(10, 24)","(9, 24)","(9, 25)","(9, 26)","(9, 27)","(9, 28)","(9, 29)","(8, 29)","(7, 29)","(6, 29)","(6, 28)","(5, 28)","(4, 28)","(3, 28)","(3, 29)","(3, 30)","(3, 31)","(3, 32)","(2, 32)","(2, 31)","(2, 30)","(2, 29)","(1, 29)","(1, 28)","(1, 27)","(1, 26)","(1, 25)","(1, 24)","(1, 23)","(1, 22)","(1, 21)","(1, 20)","(1, 19)","(1, 18)","(1, 17)","(1, 16)","(1, 15)","(1, 14)","(1, 13)","(1, 12)","(1, 11)","(1, 10)","(1, 9)","(1, 8)","(1, 7)","(0, 7)",,,,,,,
3,38,7,"(39, 38)","(38, 38)","(38, 37)","(38, 36)","(38, 35)","(38, 34)","(38, 33)","(38, 32)","(37, 32)","(37, 31)","(36, 31)","(36, 32)","(36, 33)","(36, 34)","(36, 35)","(36, 36)","(36, 37)","(35, 37)","(35, 36)","(35, 35)","(35, 34)","(35, 33)","(35, 32)","(35, 31)","(35, 30)","(35, 29)","(35, 28)","(35, 27)","(35, 26)","(35, 25)","(35, 24)","(35, 23)","(34, 23)","(33, 23)","(32, 23)","(31, 23)","(30, 23)","(30, 24)","(29, 24)","(28, 24)","(27, 24)","(26, 24)","(26, 25)","(26, 26)","(26, 27)","(26, 28)","(26, 29)","(25, 29)","(24, 29)","(24, 30)","(23, 30)","(22, 30)","(21, 30)","(20, 30)","(20, 31)","(20, 32)","(20, 33)","(20, 34)","(20, 33)","(20, 32)","(20, 31)","(20, 30)","(20, 29)","(19, 29)","(19, 28)","(18, 28)","(18, 27)","(18, 26)","(17, 26)","(16, 26)","(15, 26)","(15, 25)","(15, 24)","(14, 24)","(14, 23)","(14, 22)","(13, 22)","(13, 21)","(12, 21)","(11, 21)","(11, 20)","(11, 19)","(10, 19)","(9, 19)","(9, 18)","(8, 18)","(8, 17)","(7, 17)","(6, 17)","(5, 17)","(4, 17)","(4, 16)","(3, 16)","(2, 16)","(1, 16)","(1, 15)","(1, 14)","(1, 13)","(1, 12)","(1, 11)","(1, 10)","(1, 9)","(1, 8)","(1, 7)","(0, 7)",,,,,,,
3,38,7,"(39, 38)","(38, 38)","(38, 39)","(37, 39)","(36, 39)","(36, 38)","(36, 37)","(36, 36)","(36, 35)","(36, 34)","(35, 34)","(34, 34)","(33, 34)","(32, 34)","(31, 34)","(31, 33)","(31, 32)","(31, 31)","(30, 31)","(30, 32)","(30, 33)","(30, 34)","(29, 34)","(28, 34)","(28, 35)","(28, 36)","(27, 36)","(26, 36)","(26, 35)","(26, 34)","(25, 34)","(24, 34)","(24, 33)","(24, 32)","(24, 31)","(24, 30)","(24, 29)","(23, 29)","(22, 29)","(21, 29)","(20, 29)","(19, 29)","(18, 29)","(18, 28)","(18, 27)","(18, 26)","(18, 25)","(18, 24)","(17, 24)","(16, 24)","(16, 25)","(16, 26)","(16, 27)","(16, 28)","(15, 28)","(15, 29)","(14, 29)","(13, 29)","(13, 30)","(13, 31)","(12, 31)","(12, 32)","(12, 33)","(11, 33)","(10, 33)","(10, 32)","(10, 31)","(10, 30)","(10, 29)","(9, 29)","(9, 28)","(8, 28)","(7, 28)","(7, 29)","(6, 29)","(5, 29)","(4, 29)","(3, 29)","(3, 28)","(3, 27)","(3, 26)","(3, 25)","(3, 24)","(3, 23)","(3, 22)","(3, 21)","(3, 20)","(3, 19)","(3, 18)","(3, 17)","(3, 16)","(3, 15)","(3, 14)","(3, 13)","(3, 12)","(3, 11)","(3, 10)","(3, 9)","(3, 8)","(3, 7)","(3, 6)","(3, 7)","(2, 7)","(1, 7)","(0, 7)",,,,,,,
